image,x,y
../data/images/767134.jpg,5.797391,7.811161
../data/images/767403.jpg,4.950332,9.922053
../data/images/767849.jpg,7.374702,9.034282
../data/images/768333.jpg,6.9777293,11.507711
../data/images/768520.jpg,5.231758,8.518236
../data/images/768625.jpg,6.347181,12.235698
../data/images/769115.jpg,7.695191,9.321228
../data/images/769151.jpg,2.5029824,11.614069
../data/images/769299.jpg,4.8235664,10.260019
../data/images/770294.jpg,7.2643027,11.043969
../data/images/771195.jpg,2.974129,11.673288
../data/images/771329.jpg,5.526072,8.213989
../data/images/771434.jpg,8.355014,9.761539
../data/images/772690.jpg,7.803443,11.493621
../data/images/772901.jpg,7.352528,10.944123
../data/images/773953.jpg,7.0520453,10.187535
../data/images/774015.jpg,7.9406443,11.939919
../data/images/774400.jpg,5.4540215,10.968941
../data/images/774561.jpg,6.62077,12.005387
../data/images/775822.jpg,3.1162608,12.435492
../data/images/777035.jpg,6.184041,10.868983
../data/images/778219.jpg,8.428042,9.672782
../data/images/779208.jpg,4.9670243,11.053899
../data/images/779222.jpg,5.944997,10.986199
../data/images/779569.jpg,7.1353016,8.491902
../data/images/779632.jpg,7.5626106,10.271796
../data/images/779704.jpg,7.8185625,11.676885
../data/images/779808.jpg,2.7775743,12.335309
../data/images/779820.jpg,3.062936,12.332851
../data/images/779940.jpg,7.1129923,12.016071
../data/images/779943.jpg,7.3407106,11.894091
../data/images/780639.jpg,8.409538,8.933924
../data/images/780654.jpg,6.611159,10.155739
../data/images/780665.jpg,5.070921,11.145644
../data/images/780869.jpg,6.9173656,10.035174
../data/images/781017.jpg,5.0691237,8.732777
../data/images/781401.jpg,3.5299382,11.3148575
../data/images/782944.jpg,6.1015363,9.595658
../data/images/783493.jpg,5.4275956,11.918847
../data/images/785661.jpg,8.244374,8.572517
../data/images/786197.jpg,8.334947,9.390071
../data/images/786278.jpg,7.936309,9.516377
../data/images/786318.jpg,2.6962857,12.036443
../data/images/786452.jpg,2.5448525,11.67578
../data/images/786940.jpg,7.856975,11.142016
../data/images/787024.jpg,6.7190814,9.426461
../data/images/787101.jpg,7.244026,8.416807
../data/images/787333.jpg,8.979788,8.909378
../data/images/787345.jpg,8.599861,8.684212
../data/images/787382.jpg,5.8526917,9.422973
../data/images/788750.jpg,5.908702,8.208773
../data/images/789109.jpg,8.677361,9.27064
../data/images/789159.jpg,3.2733119,12.071172
../data/images/789177.jpg,6.7019863,10.9418955
../data/images/983916.jpg,2.9165456,12.274793
